customerID,Churn,sim_logins,sim_support_contacts,sim_data_usage_gb
7590-VHVEG,No,5,0,1.170214600020765
5575-GNVDE,No,7,2,3.303183035097282
3668-QPYBK,Yes,4,2,0.1307450409004316
7795-CFOCW,No,6,0,6.9700501768345955
9237-HQITU,Yes,0,2,4.373716482311937
9305-CDSKC,Yes,2,0,0.4189033872923079
1452-KIOVK,No,3,0,2.567422875381459
6713-OKOMC,No,4,1,3.547198345711143
7892-POOKP,Yes,2,2,4.964642660314156
6388-TABGU,No,7,0,8.368445726932329
9763-GRSKD,No,11,2,1.4950124880395157
7469-LKBCI,No,9,0,3.594897090905165
8091-TTVAX,No,8,0,1.818836950350372
0280-XJGEX,Yes,1,2,2.230734789682487
5129-JLPIS,No,8,0,2.608294312089772
3655-SNQYZ,No,5,0,3.937460854258038
8191-XWSZG,No,10,0,3.4417846129012983
9959-WOFKT,No,4,1,4.11622920860519
4190-MFLUW,Yes,3,2,3.8466680727702367
4183-MYFRB,No,7,2,3.791798412589976
8779-QRDMV,Yes,3,2,4.8327419509365885
1680-VDCWW,No,9,2,5.95347557703223
1066-JKSGK,Yes,2,3,1.6442800072664223
3638-WEABW,No,6,0,1.1994688093250148
6322-HRPFA,No,10,1,2.4538620958202433
6865-JZNKO,No,10,0,8.92780821962139
6467-CHFZW,Yes,2,1,1.25792401435987
8665-UTDHZ,Yes,4,3,1.9475180851267775
5248-YGIJN,No,9,1,0.6837213929435975
8773-HHUOZ,Yes,4,0,2.170470190644114
3841-NFECX,No,3,1,5.664191716504316
4929-XIHVW,No,4,0,3.309673424544737
6827-IEAUQ,No,8,1,3.2074013229155653
7310-EGVHZ,No,8,1,8.653898668483665
3413-BMNZE,No,5,0,2.469011575490655
6234-RAAPL,No,6,1,4.584808311993274
6047-YHPVI,Yes,4,2,1.595455698886926
6572-ADKRS,No,9,0,0.9440035358336817
5380-WJKOV,Yes,6,1,1.0972272902406197
8168-UQWWF,Yes,2,2,2.227333274436502
8865-TNMNX,No,2,0,4.126863457543928
9489-DEDVP,No,5,1,4.461346078893771
9867-JCZSP,No,3,1,2.144533207130788
4671-VJLCL,No,6,1,5.156684915242837
4080-IIARD,No,4,0,2.394950892748795
3714-NTNFO,No,1,0,4.892075391244575
5948-UJZLF,No,4,0,2.120980428689299
7760-OYPDY,Yes,1,0,0.8329999366062311
